ADMIT_PAIN_NO,MSK1.Neck.NDI,MSK1.Neck.PI,MSK2.UpperExtremity.QDASH,MSK2.UpperExtremity.UE,MSK2.UpperExtremity.PENN,MSK3.Back.MDQ,MSK3.Back.PI,MSK4.LowerExtremity.LEFS,MSK4.LowerExtremity.PI,MSK4.LowerExtremity.HOOSJr,MSK5.Knee.KOS,MSK5.Knee.PF,MSK5.Knee.KOOSJr,MSK5.Knee.IKDC,MSK6.Neck.NPRS,MSK7.UpperExtremity.NPRS,MSK8.Back.NPRS,MSK9.LowerExtremity.NPRS,MSK10.Knee.NPRS
Missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3643842654,-0.442948373,-0.3476185584,-0.4649830771,-0.4665389161
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7287685309,-0.8858967461,-0.6952371167,-0.9299661542,-0.9330778322
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.093152796,-1.328845119,-1.042855675,-1.394949231,-1.399616748
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.457537062,-1.771793492,-1.390474233,-1.859932308,-1.866155664
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.821921327,-2.214741865,-1.738092792,-2.324915386,-2.33269458
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.186305593,-2.657690238,-2.08571135,-2.789898463,-2.799233496
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.550689858,-3.100638611,-2.433329909,-3.25488154,-3.265772413
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.915074124,-3.543586984,-2.780948467,-3.719864617,-3.732311329
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.279458389,-3.986535357,-3.128567025,-4.184847694,-4.198850245
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.643842654,-4.42948373,-3.476185584,-4.649830771,-4.665389161