Age.num,MSK1.Neck.NDI,MSK1.Neck.PI,MSK2.UpperExtremity.QDASH,MSK2.UpperExtremity.UE,MSK2.UpperExtremity.PENN,MSK3.Back.MDQ,MSK3.Back.PI,MSK4.LowerExtremity.LEFS,MSK4.LowerExtremity.PF,MSK4.LowerExtremity.HOOSJr,MSK5.Knee.KOS,MSK5.Knee.PF,MSK5.Knee.KOOSJr,MSK5.Knee.IKDC,MSK6.Neck.NPRS,MSK7.UpperExtremity.NPRS,MSK8.Back.NPRS,MSK9.LowerExtremity.NPRS,MSK10.Knee.NPRS
Missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.8676616571,0,0.6173223029,0,1.13,0.8012359701,0,1.359398995,-1.175,1.07,0.9522041973,1.733970991,1.66,2.32,0.2271934795,0.4418845312,0.3745839553,0.6677656696,0.7040300837
11,0.9035765029,0,0.6428749306,0,1.176773734,0.8344012783,0,1.41566817,-1.223636405,1.114290173,0.9916184858,1.805744706,1.728711857,2.41603103,0.2365976277,0.4601753184,0.390088991,0.6954062837,0.7331717793
12,0.9363641882,0,0.6662026521,0,1.219474808,0.8646788326,0,1.467037901,-1.268037964,1.154723933,1.027600912,1.871268975,1.791440868,2.503700491,0.2451829423,0.4768734989,0.4042439796,0.7206401874,0.759776063
13,0.966525935,0,0.6876620755,0,1.258755988,0.8925314825,0,1.514293474,-1.308883439,1.191919387,1.060701536,1.931545459,1.849145965,2.584348577,0.2530806662,0.492234336,0.4172653069,0.7438531286,0.7842496316
14,0.9944513507,0,0.7075303984,0,1.29512468,0.9183190085,0,1.5580453,-1.346700442,1.226356998,1.091347926,1.987352766,1.902572539,2.659017043,0.2603928164,0.5064562497,0.4293211729,0.7653449552,0.8069086169
15,1.020449291,0,0.7260273645,0,1.328983123,0.9423266209,0,1.598777276,-1.381907229,1.258417647,1.119879033,2.039308126,1.95231149,2.728531721,0.2672002654,0.5196965346,0.4405449156,0.7853533671,0.8280036276
16,1.044768739,0,0.7433301207,0,1.36065558,0.9647842424,0,1.636879494,-1.41484098,1.288408381,1.146568102,2.08790912,1.998839171,2.79355836,0.2735682086,0.532081994,0.4510440258,0.8040699865,0.8477366922
17,1.06761335,0,0.7595835617,0,1.390407281,0.9858799352,0,1.672671027,-1.445777483,1.316580346,1.171638627,2.133562736,2.042545209,2.854641498,0.2795499718,0.5437163447,0.4609064238,0.8216515479,0.8662730572
18,1.089151822,0,0.7749077136,0,1.418457931,1.005769483,0,1.706416182,-1.474945193,1.34314158,1.195275748,2.17660611,2.083752358,2.912232212,0.2851897282,0.5546855024,0.47020494,0.8382278849,0.8837496069
19,1.109525468,0,0.7894031178,0,1.444991569,1.024583382,0,1.73833636,-1.502535481,1.368266353,1.217634546,2.217321649,2.122730978,2.966708354,0.29052448,0.5650614354,0.4790005817,0.8539077546,0.9002810048
20,1.128853842,0,0.8031548331,0,1.470163895,1.042432031,0,1.768618869,-1.528710245,1.392102095,1.238846223,2.255948271,2.159709793,3.01838959,0.2955855316,0.5749050297,0.4873449618,0.8687831662,0.9159642568
21,1.147238984,0,0.81623546,0,1.494107803,1.059409659,0,1.79742358,-1.553607671,1.414774645,1.259022762,2.292689901,2.194884029,3.067548764,0.3003996022,0.5842682531,0.4952821332,0.8829326527,0.9308821608
22,1.164768688,0,0.8287074608,0,1.516937629,1.075597339,0,1.824888043,-1.57734665,1.436392268,1.278260511,2.327721986,2.22842165,3.11442062,0.3049896798,0.5931958169,0.5028499975,0.8964237803,0.9451059524
23,1.181519031,0,0.8406249637,0,1.538752455,1.091065324,0,1.851131452,-1.600030207,1.457048785,1.296642961,2.361196565,2.260468208,3.15920858,0.3093756852,0.6017264664,0.5100813989,0.9093151002,0.9586973624
24,1.197556373,0,0.8520351822,0,1.559638703,1.105874893,0,1.876257775,-1.621748209,1.476826029,1.314242938,2.393246255,2.291150661,3.202090081,0.3135749944,0.6098939974,0.5170049861,0.921657684,0.9717102361
25,1.212938944,0,0.8629795455,0,1.57967221,1.120079819,0,1.900358243,-1.64257951,1.495795809,1.331124344,2.423987422,2.320580414,3.24322082,0.3176028547,0.6177280653,0.5236458977,0.933496346,0.9841918214
26,1.22771812,0,0.8734946057,0,1.598919883,1.133727543,0,1.923513347,-1.662593684,1.495795809,1.347343561,2.453522738,2.348855758,3.282738167,0.3214727183,0.6252548345,0.5300263134,0.9448706252,0.9961838047
27,1.241939456,0,0.8836127752,0,1.617441053,1.146860134,0,1.945794462,-1.681852423,1.531559228,1.362950584,2.481943245,2.376063849,3.320763933,0.325196514,0.6324975058,0.5361659003,0.9558155824,1.007723151
28,1.255643536,0,0.8933629286,0,1.635288575,1.159515069,0,1.967265173,-1.700410687,1.548459094,1.377989952,2.509330046,2.402282332,3.357406633,0.3287848685,0.6394767482,0.5420821793,0.9663624518,1.01884279
29,1.26886667,0,0.9027708998,0,1.652509738,1.171725878,0,1.987982369,-1.718317648,1.564765858,1.392501512,2.535755706,2.427580677,3.392763355,0.3322472896,0.6462110537,0.5477908263,0.9765391783,1.029572185
30,1.281641476,0,0.9118598946,0,1.669147018,1.183522681,0,2.007997149,-1.735617474,1.580519743,1.406521059,2.561285406,2.452021283,3.426921311,0.3355923175,0.6527170331,0.5533059221,0.9863708637,1.039937801
31,1.293997359,0,0.9206508353,0,1.685238714,1.194932634,0,2.027355588,-1.75234999,1.595757012,1.420080865,2.585977914,2.475660412,3.45995913,0.3388276524,0.6590096629,0.5586401621,0.9958801401,1.049963498
32,1.305960924,0,0.9291626508,0,1.700819476,1.205980303,0,2.046099368,-1.768551225,1.610510477,1.433210127,2.6098864,2.498548964,3.49194795,0.3419602607,0.6651024925,0.5638050322,1.005087483,1.059670865
33,1.317556321,0,0.9374125224,0,1.715920752,1.21668799,0,2.064266324,-1.784253879,1.624809916,1.445935347,2.633059121,2.52073314,3.522952341,0.3449964657,0.6710078204,0.5688109578,1.014011478,1.069079496
34,1.328805535,0,0.9454160919,0,1.730571176,1.227075996,0,2.081890901,-1.799487728,1.638682441,1.458280653,2.655540015,2.542255002,3.553031088,0.3479420239,0.6767368432,0.5736674302,1.022669045,1.07820723
35,1.339728638,0,0.953187641,0,1.74479689,1.237162857,0,2.099004548,-1.814279952,1.652152807,1.470268073,2.677369197,2.563152954,3.582237863,0.3508021916,0.6822997839,0.5783831153,1.031075632,1.087070355
36,1.350344007,0,0.9607402438,0,1.758621826,1.246965544,0,2.115636055,-1.828655438,1.665243676,1.481917773,2.69858339,2.583462151,3.610621802,0.3535817803,0.6877060009,0.5829659464,1.039245382,1.09568378
37,1.360668507,0,0.9680858997,0,1.772067948,1.25649963,0,2.131811848,-1.842637026,1.677975845,1.493248264,2.719216298,2.603214862,3.638228,0.3562852062,0.6929640836,0.5874232045,1.047191274,1.104061191
38,1.370717653,0,0.9752356479,0,1.785155464,1.265779443,0,2.147556234,-1.856245726,1.690368448,1.504276572,2.739298929,2.62244077,3.665097944,0.3589165322,0.6980819339,0.5917615882,1.054925251,1.112215178
39,1.380505753,0,0.9821996673,0,1.797903006,1.274818194,0,2.162891628,-1.869500913,1.70243913,1.515018397,2.758859873,2.641167248,3.691269888,0.3614795042,0.7030668379,0.5959872737,1.062458323,1.120157349
40,1.390046027,0,0.9889873632,0,1.81032779,1.283628091,0,2.177838742,-1.88242049,1.714204191,1.525488248,2.777925551,2.659419586,3.71677918,0.3639775838,0.7079255282,0.6001059682,1.069800663,1.12789843
41,1.399350714,0,0.9956074445,0,1.822445758,1.292220438,0,2.192416754,-1.895021032,1.725678727,1.535699558,2.796520422,2.677221202,3.741658548,0.3664139761,0.7126642384,0.6041229561,1.076961692,1.135448354
42,1.408431169,0,1.00206799,0,1.834271698,1.30060572,0,2.206643454,-1.907317916,1.736876741,1.545664788,2.814667181,2.694593822,3.765938354,0.3687916544,0.7172887516,0.6080431397,1.083950149,1.142816334
43,1.417297947,0,1.008376509,0,1.845819355,1.308793683,0,2.220535377,-1.919325435,1.747811247,1.55539552,2.832386917,2.711557636,3.789646817,0.3711133821,0.7218044427,0.611871075,1.090774157,1.150010934
44,1.425960873,0,1.014539991,0,1.857101524,1.3167934,0,2.234107917,-1.931056895,1.758494364,1.564902537,2.849699266,2.728131443,3.812810209,0.373381732,0.7262163154,0.6156110039,1.097441277,1.157040125
45,1.434429109,0,1.020564956,0,1.868130141,1.324613332,0,2.24737543,-1.942524704,1.76893739,1.574195895,2.866622541,2.744332773,3.835453032,0.3755991034,0.7305290366,0.6192668824,1.103958561,1.163911345
46,1.442711216,0,1.026457494,0,1.87891635,1.332261384,0,2.260351325,-1.953740452,1.77915088,1.583284986,2.883173845,2.760178001,3.85759817,0.3777677373,0.7347469649,0.6228424053,1.110332597,1.170631535
47,1.450815198,0,1.0322233,0,1.889470579,1.339744949,0,2.273048148,-1.964714983,1.789144708,1.592178599,2.89936918,2.775682444,3.87926703,0.3798897304,0.738874178,0.6263410293,1.116569546,1.177207195
48,1.458748558,0,1.037867712,0,1.899802598,1.347070954,0,2.285477648,-1.975458454,1.798928124,1.600884963,2.915223534,2.790860454,3.900479671,0.3819670466,0.7429144959,0.6297659925,1.122675181,1.183644409
49,1.466518332,0,1.043395736,0,1.90992157,1.354245896,0,2.297650853,-1.985980394,1.808509806,1.609411802,2.930750972,2.805725493,3.921254906,0.3840015285,0.7468715024,0.6331203329,1.128654917,1.189948888
50,1.474131129,0,1.048812076,0,1.919836105,1.36127588,0,2.309578116,-1.996289755,1.817897905,1.617766369,2.945964702,2.820290207,3.94161041,0.3859949068,0.7507485638,0.6364069042,1.134513843,1.196125994
51,1.481593169,0,1.054121153,0,1.929554299,1.368166647,0,2.321269181,-2.006394957,1.827100088,1.625955489,2.96087715,2.834566492,3.961562809,0.3879488098,0.7545488467,0.6396283905,1.140256742,1.202180774
52,1.488910305,0,1.059327136,0,1.939083778,1.374923604,0,2.332733221,-2.016303929,1.836123578,1.633985586,2.975500018,2.84856555,3.981127757,0.3898647705,0.758275333,0.6427873198,1.145888122,1.208117978
53,1.496088058,0,1.064433951,0,1.948431733,1.381551849,0,2.343978884,-2.026024147,1.84497518,1.64186272,2.989844338,2.862297944,4.000320017,0.3917442344,0.7619308342,0.6458860753,1.151412231,1.213942085
54,1.50313164,0,1.069445305,0,1.957604949,1.388056195,0,2.355014336,-2.035562668,1.853661323,1.649592609,3.003920525,2.875773641,4.019153523,0.3935885662,0.7655180043,0.6489269067,1.156833079,1.219657324
55,1.510045975,0,1.074364703,0,1.966609839,1.394441188,0,2.365847291,-2.04492616,1.862188078,1.657180658,3.017738417,2.889002065,4.03764144,0.395399055,0.7690393511,0.6519119399,1.162154457,1.22526769
56,1.51683572,0,1.079195459,0,1.975452471,1.40071113,0,2.376485047,-2.054120932,1.870561189,1.664631977,3.031307326,2.901992125,4.055796223,0.3971769207,0.7724972467,0.6548431858,1.167379948,1.230776963
57,1.523505287,0,1.08394071,0,1.984138587,1.406870093,0,2.386934514,-2.063152955,1.878786096,1.671951408,3.044636064,2.91475226,4.073629665,0.398923318,0.7758939374,0.6577225485,1.172512949,1.236188722
58,1.530058855,0,1.08860343,0,1.992673633,1.412921939,0,2.397202242,-2.072027892,1.886867953,1.679143537,3.057732986,2.927290469,4.091152945,0.4006393417,0.7792315522,0.6605518327,1.177556675,1.241506358
59,1.536500391,0,1.093186442,0,2.001062773,1.418870329,0,2.407294445,-2.080751114,1.894811652,1.686212718,3.070606018,2.939614339,4.108376667,0.4023260302,0.7825121109,0.6633327508,1.182514179,1.24673309
60,1.54283366,0,1.097692425,0,2.009310913,1.424718742,0,2.417217023,-2.089327719,1.902621838,1.693163084,3.083262686,2.951731076,4.125310901,0.4039843696,0.7857375316,0.6660669285,1.18738836,1.251871974
61,1.549062243,0,1.102123925,0,2.017422714,1.430470482,0,2.426975583,-2.097762556,1.910302923,1.699998562,3.095710143,2.963647526,4.141965217,0.4056152973,0.7889096371,0.6687559111,1.192181973,1.256925913
62,1.555189543,0,1.106483365,0,2.025402609,1.436128694,0,2.436575461,-2.106060235,1.917859108,1.70672289,3.107955194,2.975370205,4.15834872,0.4072197046,0.7920301614,0.6714011685,1.196897637,1.261897671
63,1.561218803,0,1.110773052,0,2.033254821,1.441696371,0,2.446021735,-2.114225146,1.925294388,1.713339624,3.120004316,2.986905312,4.174470075,0.4087984402,0.7951007551,0.6740041,1.201537847,1.266789878
64,1.567153109,0,1.114995181,0,2.040983371,1.447176364,0,2.455319241,-2.122261469,1.932612572,1.719852152,3.131863679,2.998258757,4.19033754,0.4103523129,0.798122991,0.6765660387,1.20610498,1.271605038
65,1.572995407,0,1.119151848,0,2.048592093,1.452571392,0,2.464472595,-2.130173194,1.939817292,1.726263708,3.14353917,3.009436172,4.205958987,0.4118820935,0.8010983686,0.6790882558,1.210601302,1.276345542
66,1.578748506,0,1.123245053,0,2.056084647,1.45788405,0,2.473486197,-2.137964124,1.946912011,1.732577373,3.155036401,3.020442933,4.22134193,0.4133885178,0.8040283189,0.6815719642,1.215028974,1.281013669
67,1.584415089,0,1.127276702,0,2.063464527,1.463116816,0,2.482364252,-2.145637893,1.953900039,1.738796092,3.166360735,3.031284172,4.236493542,0.4148722882,0.806914208,0.6840183223,1.219390063,1.285611596
68,1.58999772,0,1.131248622,0,2.070735071,1.468272056,0,2.491110774,-2.153197972,1.960784537,1.744922678,3.177517295,3.041964795,4.251420677,0.4163340761,0.8097573417,0.6864284367,1.223686541,1.290141403
69,1.595498849,0,1.135162555,0,2.077899473,1.473352035,0,2.499729606,-2.160647682,1.967568527,1.750959822,3.18851098,3.052489491,4.266129891,0.4177745232,0.8125589683,0.6888033656,1.227920294,1.294605079
70,1.600920823,0,1.139020171,0,2.084960785,1.478358918,0,2.508224421,-2.167990197,1.974254903,1.756910098,3.199346477,3.062862746,4.280627453,0.4191942437,0.8153202823,0.6911441218,1.232093128,1.299004528
71,1.606265887,0,1.142823067,0,2.091921934,1.483294779,0,2.516598739,-2.17522856,1.980846433,1.76277597,3.210028274,3.073088859,4.294919369,0.4205938257,0.8180424275,0.6934516746,1.236206771,1.30334157
72,1.611536192,0,1.146572774,0,2.098785721,1.488161605,0,2.524855929,-2.182365683,1.987345771,1.768559799,3.220560669,3.083171944,4.309011392,0.4219738324,0.8207264994,0.6957269529,1.240262878,1.307617953
73,1.616733801,0,1.150270759,0,2.105554832,1.492961299,0,2.532999223,-2.189404361,1.99375546,1.774263848,3.230947786,3.093115948,4.322909035,0.423334804,0.8233735484,0.697970847,1.244263037,1.311835349
74,1.621860691,0,1.15391843,0,2.112231843,1.49769569,0,2.541031721,-2.196347271,2.00007794,1.779890289,3.241193577,3.102924655,4.33661759,0.4246772584,0.8259845821,0.700184211,1.248208771,1.315995364
75,1.626918763,0,1.157517137,0,2.118819228,1.50236653,0,2.548956397,-2.203196984,2.006315552,1.785441205,3.251301837,3.112601697,4.350142131,0.4260016927,0.8285605673,0.7023678645,1.25210154,1.320099538
76,1.631909838,0,1.161068178,0,2.125319359,1.506975503,0,2.556776107,-2.209955971,2.012470544,1.790918597,3.261276208,3.122150563,4.363487534,0.4273085843,0.8311024324,0.7045225946,1.255942748,1.324149351
77,1.636835669,0,1.164572799,0,2.131734519,1.511524226,0,2.564493596,-2.216626602,2.018545076,1.796324387,3.271120192,3.131574604,4.376658482,0.4285983919,0.8336110696,0.7066491575,1.259733742,1.328146223
78,1.641697938,0,1.168032197,0,2.138066901,1.516014254,0,2.572111501,-2.223211158,2.024541225,1.801660422,3.280837153,3.14087704,4.389659478,0.4298715563,0.8360873364,0.7087482801,1.263475819,1.332091522
79,1.646498267,0,1.171447526,0,2.144318613,1.520447083,0,2.579632361,-2.229711832,2.030460988,1.806928481,3.290430328,3.150060972,4.402494852,0.4311285017,0.8385320575,0.7108206616,1.267170225,1.33598656
80,1.651238212,0,1.174819893,0,2.150491685,1.524824152,0,2.587058616,-2.236130735,2.036306286,1.812130273,3.299902831,3.159129378,4.41516877,0.4323696359,0.8409460266,0.7128669747,1.270818159,1.339832603
81,1.655919274,0,1.178150367,0,2.156588071,1.529146845,0,2.594392617,-2.242469897,2.04207897,1.817267445,3.309257659,3.168085131,4.427685244,0.433595352,0.8433300078,0.714887867,1.274420777,1.343630868
82,1.660542899,0,1.181439975,0,2.162609653,1.533416499,0,2.601636628,-2.248731277,2.047780822,1.822341583,3.318497702,3.176930995,4.440048138,0.4348060282,0.8456847369,0.7168839626,1.277979189,1.347382527
83,1.665110478,0,1.184689707,0,2.168558244,1.537634397,0,2.60879283,-2.254916759,2.053413559,1.827354215,3.327625742,3.185669633,4.452261174,0.4360020292,0.8480109231,0.7188558624,1.281494467,1.35108871
84,1.669623354,0,1.18790052,0,2.174435593,1.54180178,0,2.615863328,-2.261028161,2.058978836,1.832306813,3.336644461,3.194303615,4.464327944,0.4371837065,0.8503092501,0.7208041461,1.284967646,1.354750507
85,1.674082822,0,1.191073334,0,2.180243386,1.545919845,0,2.622850149,-2.267067238,2.064478251,1.837200799,3.345556447,3.202835417,4.476251908,0.4383513991,0.8525803774,0.7227293727,1.288399721,1.358368968
86,1.678490132,0,1.194209039,0,2.18598325,1.549989743,0,2.62975525,-2.27303568,2.069913343,1.842037545,3.354364197,3.211267429,4.488036407,0.4395054342,0.8548249411,0.7246320814,1.291791654,1.361945107
87,1.682846489,0,1.197308492,0,2.191656755,1.55401259,0,2.636580523,-2.278935122,2.0752856,1.846818373,3.363070121,3.219601959,4.499684666,0.4406461276,0.8570435556,0.7265127931,1.295144372,1.365479902
88,1.687153057,0,1.200372521,0,2.19726542,1.55798946,0,2.64332779,-2.28476714,2.080596459,1.851544562,3.371676546,3.227841236,4.511199799,0.4417737841,0.8592368139,0.7283720104,1.298458774,1.368974299
89,1.691410963,0,1.203401928,0,2.202810708,1.561921393,0,2.649998816,-2.290533258,2.085847307,1.856217347,3.380185722,3.235987411,4.522584815,0.4428886985,0.8614052891,0.7302102191,1.301735723,1.37242921
90,1.695621294,0,1.206397486,0,2.208294036,1.565809393,0,2.656595303,-2.296234949,2.091039485,1.86083792,3.388599821,3.244042566,4.533842622,0.4439911555,0.863549535,0.7320278888,1.304976058,1.375845518
91,1.699785101,0,1.209359944,0,2.213716773,1.56965443,0,2.6631189,-2.301873636,2.09617429,1.865407436,3.396920944,3.252008711,4.54497603,0.4450814304,0.8656700872,0.7338254734,1.308180587,1.379224075
92,1.7039034,0,1.212290024,0,2.219080245,1.573457445,0,2.669571199,-2.307450697,2.101252975,1.869927012,3.405151125,3.259887793,4.555987759,0.4461597895,0.8677674634,0.7356034118,1.311350093,1.382565709
93,1.707977177,0,1.215188427,0,2.224385732,1.577219345,0,2.675953742,-2.312967465,2.106276755,1.874397726,3.413292329,3.267681695,4.566880441,0.4472264904,0.8698421648,0.7373621288,1.314485334,1.385871215
94,1.712007383,0,1.218055831,0,2.229634475,1.58094101,0,2.682268021,-2.318425228,2.111246803,1.878820624,3.42134646,3.275392237,4.57765662,0.4482817826,0.8718946765,0.7391020357,1.317587042,1.389141368
95,1.715994941,0,1.220892891,0,2.234827674,1.584623291,0,2.688515481,-2.323825236,2.116164258,1.883196718,3.42931536,3.283021185,4.588318764,0.4493259074,0.8739254681,0.7408235306,1.320655928,1.392376915
96,1.719940743,0,1.223700243,0,2.239966493,1.588267014,0,2.694697522,-2.329168699,2.121030219,1.887526988,3.437200814,3.290570247,4.598869261,0.4503590987,0.8759349944,0.742526999,1.323692677,1.395578582
97,1.723845655,0,1.226478502,0,2.24505206,1.591872978,0,2.700815499,-2.334456788,2.125845756,1.891812384,3.445004553,3.298041079,4.609310423,0.4513815833,0.8779236963,0.7442128145,1.326697957,1.39874707
98,1.727710516,0,1.229228267,0,2.250085466,1.595441956,0,2.706870726,-2.339690639,2.130611901,1.896053827,3.452728252,3.305435286,4.619644496,0.4523935806,0.8798920009,0.7458813394,1.329672414,1.401883061
99,1.73153614,0,1.231950114,0,2.25506777,1.598974701,0,2.712864478,-2.344871354,2.135329658,1.900252209,3.460373536,3.312754423,4.629873651,0.4533953037,0.8818403223,0.7475329246,1.332616672,1.404987213
100,1.735323314,0,1.234644606,0,2.26,1.60247194,0,2.71879799,-2.35,2.14,1.904408395,3.467941982,3.32,4.64,0.454386959,0.8837690623,0.7491679106,1.335531339,1.408060167