ADMIT_SCORE_NO,MSK1.Neck.NDI,MSK1.Neck.PI,MSK2.UpperExtremity.QDASH,MSK2.UpperExtremity.UE,MSK2.UpperExtremity.PENN,MSK3.Back.MDQ,MSK3.Back.PI,MSK4.LowerExtremity.LEFS,MSK4.LowerExtremity.PI,MSK4.LowerExtremity.HOOSJr,MSK5.Knee.KOS,MSK5.Knee.PF,MSK5.Knee.KOOSJr,MSK5.Knee.IKDC,MSK6.Neck.NPRS,MSK7.UpperExtremity.NPRS,MSK8.Back.NPRS,MSK9.LowerExtremity.NPRS,MSK10.Knee.NPRS
Missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.033957,-0.0996,0.038712,-0.064383,0.037,0.032822,0.0995,-0.044198,-0.0661,0.0663,-0.043685,-0.0851,0.0734,0.0372,0,0,0,0,0
2,0.067914,-0.1992,0.077424,-0.128766,0.074,0.065644,0.199,-0.088396,-0.1322,0.1326,-0.08737,-0.1702,0.1468,0.0744,0,0,0,0,0
3,0.101871,-0.2988,0.116136,-0.193149,0.111,0.098466,0.2985,-0.132594,-0.1983,0.1989,-0.131055,-0.2553,0.2202,0.1116,0,0,0,0,0
4,0.135828,-0.3984,0.154848,-0.257532,0.148,0.131288,0.398,-0.176792,-0.2644,0.2652,-0.17474,-0.3404,0.2936,0.1488,0,0,0,0,0
5,0.169785,-0.498,0.19356,-0.321915,0.185,0.16411,0.4975,-0.22099,-0.3305,0.3315,-0.218425,-0.4255,0.367,0.186,0,0,0,0,0
6,0.203742,-0.5976,0.232272,-0.386298,0.222,0.196932,0.597,-0.265188,-0.3966,0.3978,-0.26211,-0.5106,0.4404,0.2232,0,0,0,0,0
7,0.237699,-0.6972,0.270984,-0.450681,0.259,0.229754,0.6965,-0.309386,-0.4627,0.4641,-0.305795,-0.5957,0.5138,0.2604,0,0,0,0,0
8,0.271656,-0.7968,0.309696,-0.515064,0.296,0.262576,0.796,-0.353584,-0.5288,0.5304,-0.34948,-0.6808,0.5872,0.2976,0,0,0,0,0
9,0.305613,-0.8964,0.348408,-0.579447,0.333,0.295398,0.8955,-0.397782,-0.5949,0.5967,-0.393165,-0.7659,0.6606,0.3348,0,0,0,0,0
10,0.33957,-0.996,0.38712,-0.64383,0.37,0.32822,0.995,-0.44198,-0.661,0.663,-0.43685,-0.851,0.734,0.372,0,0,0,0,0
11,0.373527,-1.0956,0.425832,-0.708213,0.407,0.361042,1.0945,-0.486178,-0.7271,0.7293,-0.480535,-0.9361,0.8074,0.4092,0,0,0,0,0
12,0.407484,-1.1952,0.464544,-0.772596,0.444,0.393864,1.194,-0.530376,-0.7932,0.7956,-0.52422,-1.0212,0.8808,0.4464,0,0,0,0,0
13,0.441441,-1.2948,0.503256,-0.836979,0.481,0.426686,1.2935,-0.574574,-0.8593,0.8619,-0.567905,-1.1063,0.9542,0.4836,0,0,0,0,0
14,0.475398,-1.3944,0.541968,-0.901362,0.518,0.459508,1.393,-0.618772,-0.9254,0.9282,-0.61159,-1.1914,1.0276,0.5208,0,0,0,0,0
15,0.509355,-1.494,0.58068,-0.965745,0.555,0.49233,1.4925,-0.66297,-0.9915,0.9945,-0.655275,-1.2765,1.101,0.558,0,0,0,0,0
16,0.543312,-1.5936,0.619392,-1.030128,0.592,0.525152,1.592,-0.707168,-1.0576,1.0608,-0.69896,-1.3616,1.1744,0.5952,0,0,0,0,0
17,0.577269,-1.6932,0.658104,-1.094511,0.629,0.557974,1.6915,-0.751366,-1.1237,1.1271,-0.742645,-1.4467,1.2478,0.6324,0,0,0,0,0
18,0.611226,-1.7928,0.696816,-1.158894,0.666,0.590796,1.791,-0.795564,-1.1898,1.1934,-0.78633,-1.5318,1.3212,0.6696,0,0,0,0,0
19,0.645183,-1.8924,0.735528,-1.223277,0.703,0.623618,1.8905,-0.839762,-1.2559,1.2597,-0.830015,-1.6169,1.3946,0.7068,0,0,0,0,0
20,0.67914,-1.992,0.77424,-1.28766,0.74,0.65644,1.99,-0.88396,-1.322,1.326,-0.8737,-1.702,1.468,0.744,0,0,0,0,0
21,0.713097,-2.0916,0.812952,-1.352043,0.777,0.689262,2.0895,-0.928158,-1.3881,1.3923,-0.917385,-1.7871,1.5414,0.7812,0,0,0,0,0
22,0.747054,-2.1912,0.851664,-1.416426,0.814,0.722084,2.189,-0.972356,-1.4542,1.4586,-0.96107,-1.8722,1.6148,0.8184,0,0,0,0,0
23,0.781011,-2.2908,0.890376,-1.480809,0.851,0.754906,2.2885,-1.016554,-1.5203,1.5249,-1.004755,-1.9573,1.6882,0.8556,0,0,0,0,0
24,0.814968,-2.3904,0.929088,-1.545192,0.888,0.787728,2.388,-1.060752,-1.5864,1.5912,-1.04844,-2.0424,1.7616,0.8928,0,0,0,0,0
25,0.848925,-2.49,0.9678,-1.609575,0.925,0.82055,2.4875,-1.10495,-1.6525,1.6575,-1.092125,-2.1275,1.835,0.93,0,0,0,0,0
26,0.882882,-2.5896,1.006512,-1.673958,0.962,0.853372,2.587,-1.149148,-1.7186,1.7238,-1.13581,-2.2126,1.9084,0.9672,0,0,0,0,0
27,0.916839,-2.6892,1.045224,-1.738341,0.999,0.886194,2.6865,-1.193346,-1.7847,1.7901,-1.179495,-2.2977,1.9818,1.0044,0,0,0,0,0
28,0.950796,-2.7888,1.083936,-1.802724,1.036,0.919016,2.786,-1.237544,-1.8508,1.8564,-1.22318,-2.3828,2.0552,1.0416,0,0,0,0,0
29,0.984753,-2.8884,1.122648,-1.867107,1.073,0.951838,2.8855,-1.281742,-1.9169,1.9227,-1.266865,-2.4679,2.1286,1.0788,0,0,0,0,0
30,1.01871,-2.988,1.16136,-1.93149,1.11,0.98466,2.985,-1.32594,-1.983,1.989,-1.31055,-2.553,2.202,1.116,0,0,0,0,0
31,1.052667,-3.0876,1.200072,-1.995873,1.147,1.017482,3.0845,-1.370138,-2.0491,2.0553,-1.354235,-2.6381,2.2754,1.1532,0,0,0,0,0
32,1.086624,-3.1872,1.238784,-2.060256,1.184,1.050304,3.184,-1.414336,-2.1152,2.1216,-1.39792,-2.7232,2.3488,1.1904,0,0,0,0,0
33,1.120581,-3.2868,1.277496,-2.124639,1.221,1.083126,3.2835,-1.458534,-2.1813,2.1879,-1.441605,-2.8083,2.4222,1.2276,0,0,0,0,0
34,1.154538,-3.3864,1.316208,-2.189022,1.258,1.115948,3.383,-1.502732,-2.2474,2.2542,-1.48529,-2.8934,2.4956,1.2648,0,0,0,0,0
35,1.188495,-3.486,1.35492,-2.253405,1.295,1.14877,3.4825,-1.54693,-2.3135,2.3205,-1.528975,-2.9785,2.569,1.302,0,0,0,0,0
36,1.222452,-3.5856,1.393632,-2.317788,1.332,1.181592,3.582,-1.591128,-2.3796,2.3868,-1.57266,-3.0636,2.6424,1.3392,0,0,0,0,0
37,1.256409,-3.6852,1.432344,-2.382171,1.369,1.214414,3.6815,-1.635326,-2.4457,2.4531,-1.616345,-3.1487,2.7158,1.3764,0,0,0,0,0
38,1.290366,-3.7848,1.471056,-2.446554,1.406,1.247236,3.781,-1.679524,-2.5118,2.5194,-1.66003,-3.2338,2.7892,1.4136,0,0,0,0,0
39,1.324323,-3.8844,1.509768,-2.510937,1.443,1.280058,3.8805,-1.723722,-2.5779,2.5857,-1.703715,-3.3189,2.8626,1.4508,0,0,0,0,0
40,1.35828,-3.984,1.54848,-2.57532,1.48,1.31288,3.98,-1.76792,-2.644,2.652,-1.7474,-3.404,2.936,1.488,0,0,0,0,0
41,1.392237,-4.0836,1.587192,-2.639703,1.517,1.345702,4.0795,-1.812118,-2.7101,2.7183,-1.791085,-3.4891,3.0094,1.5252,0,0,0,0,0
42,1.426194,-4.1832,1.625904,-2.704086,1.554,1.378524,4.179,-1.856316,-2.7762,2.7846,-1.83477,-3.5742,3.0828,1.5624,0,0,0,0,0
43,1.460151,-4.2828,1.664616,-2.768469,1.591,1.411346,4.2785,-1.900514,-2.8423,2.8509,-1.878455,-3.6593,3.1562,1.5996,0,0,0,0,0
44,1.494108,-4.3824,1.703328,-2.832852,1.628,1.444168,4.378,-1.944712,-2.9084,2.9172,-1.92214,-3.7444,3.2296,1.6368,0,0,0,0,0
45,1.528065,-4.482,1.74204,-2.897235,1.665,1.47699,4.4775,-1.98891,-2.9745,2.9835,-1.965825,-3.8295,3.303,1.674,0,0,0,0,0
46,1.562022,-4.5816,1.780752,-2.961618,1.702,1.509812,4.577,-2.033108,-3.0406,3.0498,-2.00951,-3.9146,3.3764,1.7112,0,0,0,0,0
47,1.595979,-4.6812,1.819464,-3.026001,1.739,1.542634,4.6765,-2.077306,-3.1067,3.1161,-2.053195,-3.9997,3.4498,1.7484,0,0,0,0,0
48,1.629936,-4.7808,1.858176,-3.090384,1.776,1.575456,4.776,-2.121504,-3.1728,3.1824,-2.09688,-4.0848,3.5232,1.7856,0,0,0,0,0
49,1.663893,-4.8804,1.896888,-3.154767,1.813,1.608278,4.8755,-2.165702,-3.2389,3.2487,-2.140565,-4.1699,3.5966,1.8228,0,0,0,0,0
50,1.69785,-4.98,1.9356,-3.21915,1.85,1.6411,4.975,-2.2099,-3.305,3.315,-2.18425,-4.255,3.67,1.86,0,0,0,0,0
51,1.731807,-5.0796,1.974312,-3.283533,1.887,1.673922,5.0745,-2.254098,-3.3711,3.3813,-2.227935,-4.3401,3.7434,1.8972,0,0,0,0,0
52,1.765764,-5.1792,2.013024,-3.347916,1.924,1.706744,5.174,-2.298296,-3.4372,3.4476,-2.27162,-4.4252,3.8168,1.9344,0,0,0,0,0
53,1.799721,-5.2788,2.051736,-3.412299,1.961,1.739566,5.2735,-2.342494,-3.5033,3.5139,-2.315305,-4.5103,3.8902,1.9716,0,0,0,0,0
54,1.833678,-5.3784,2.090448,-3.476682,1.998,1.772388,5.373,-2.386692,-3.5694,3.5802,-2.35899,-4.5954,3.9636,2.0088,0,0,0,0,0
55,1.867635,-5.478,2.12916,-3.541065,2.035,1.80521,5.4725,-2.43089,-3.6355,3.6465,-2.402675,-4.6805,4.037,2.046,0,0,0,0,0
56,1.901592,-5.5776,2.167872,-3.605448,2.072,1.838032,5.572,-2.475088,-3.7016,3.7128,-2.44636,-4.7656,4.1104,2.0832,0,0,0,0,0
57,1.935549,-5.6772,2.206584,-3.669831,2.109,1.870854,5.6715,-2.519286,-3.7677,3.7791,-2.490045,-4.8507,4.1838,2.1204,0,0,0,0,0
58,1.969506,-5.7768,2.245296,-3.734214,2.146,1.903676,5.771,-2.563484,-3.8338,3.8454,-2.53373,-4.9358,4.2572,2.1576,0,0,0,0,0
59,2.003463,-5.8764,2.284008,-3.798597,2.183,1.936498,5.8705,-2.607682,-3.8999,3.9117,-2.577415,-5.0209,4.3306,2.1948,0,0,0,0,0
60,2.03742,-5.976,2.32272,-3.86298,2.22,1.96932,5.97,-2.65188,-3.966,3.978,-2.6211,-5.106,4.404,2.232,0,0,0,0,0
61,2.071377,-6.0756,2.361432,-3.927363,2.257,2.002142,6.0695,-2.696078,-4.0321,4.0443,-2.664785,-5.1911,4.4774,2.2692,0,0,0,0,0
62,2.105334,-6.1752,2.400144,-3.991746,2.294,2.034964,6.169,-2.740276,-4.0982,4.1106,-2.70847,-5.2762,4.5508,2.3064,0,0,0,0,0
63,2.139291,-6.2748,2.438856,-4.056129,2.331,2.067786,6.2685,-2.784474,-4.1643,4.1769,-2.752155,-5.3613,4.6242,2.3436,0,0,0,0,0
64,2.173248,-6.3744,2.477568,-4.120512,2.368,2.100608,6.368,-2.828672,-4.2304,4.2432,-2.79584,-5.4464,4.6976,2.3808,0,0,0,0,0
65,2.207205,-6.474,2.51628,-4.184895,2.405,2.13343,6.4675,-2.87287,-4.2965,4.3095,-2.839525,-5.5315,4.771,2.418,0,0,0,0,0
66,2.241162,-6.5736,2.554992,-4.249278,2.442,2.166252,6.567,-2.917068,-4.3626,4.3758,-2.88321,-5.6166,4.8444,2.4552,0,0,0,0,0
67,2.275119,-6.6732,2.593704,-4.313661,2.479,2.199074,6.6665,-2.961266,-4.4287,4.4421,-2.926895,-5.7017,4.9178,2.4924,0,0,0,0,0
68,2.309076,-6.7728,2.632416,-4.378044,2.516,2.231896,6.766,-3.005464,-4.4948,4.5084,-2.97058,-5.7868,4.9912,2.5296,0,0,0,0,0
69,2.343033,-6.8724,2.671128,-4.442427,2.553,2.264718,6.8655,-3.049662,-4.5609,4.5747,-3.014265,-5.8719,5.0646,2.5668,0,0,0,0,0
70,2.37699,-6.972,2.70984,-4.50681,2.59,2.29754,6.965,-3.09386,-4.627,4.641,-3.05795,-5.957,5.138,2.604,0,0,0,0,0
71,2.410947,-7.0716,2.748552,-4.571193,2.627,2.330362,7.0645,-3.138058,-4.6931,4.7073,-3.101635,-6.0421,5.2114,2.6412,0,0,0,0,0
72,2.444904,-7.1712,2.787264,-4.635576,2.664,2.363184,7.164,-3.182256,-4.7592,4.7736,-3.14532,-6.1272,5.2848,2.6784,0,0,0,0,0
73,2.478861,-7.2708,2.825976,-4.699959,2.701,2.396006,7.2635,-3.226454,-4.8253,4.8399,-3.189005,-6.2123,5.3582,2.7156,0,0,0,0,0
74,2.512818,-7.3704,2.864688,-4.764342,2.738,2.428828,7.363,-3.270652,-4.8914,4.9062,-3.23269,-6.2974,5.4316,2.7528,0,0,0,0,0
75,2.546775,-7.47,2.9034,-4.828725,2.775,2.46165,7.4625,-3.31485,-4.9575,4.9725,-3.276375,-6.3825,5.505,2.79,0,0,0,0,0
76,2.580732,-7.5696,2.942112,-4.893108,2.812,2.494472,7.562,-3.359048,-5.0236,5.0388,-3.32006,-6.4676,5.5784,2.8272,0,0,0,0,0
77,2.614689,-7.6692,2.980824,-4.957491,2.849,2.527294,7.6615,-3.403246,-5.0897,5.1051,-3.363745,-6.5527,5.6518,2.8644,0,0,0,0,0
78,2.648646,-7.7688,3.019536,-5.021874,2.886,2.560116,7.761,-3.447444,-5.1558,5.1714,-3.40743,-6.6378,5.7252,2.9016,0,0,0,0,0
79,2.682603,-7.8684,3.058248,-5.086257,2.923,2.592938,7.8605,-3.491642,-5.2219,5.2377,-3.451115,-6.7229,5.7986,2.9388,0,0,0,0,0
80,2.71656,-7.968,3.09696,-5.15064,2.96,2.62576,7.96,-3.53584,-5.288,5.304,-3.4948,-6.808,5.872,2.976,0,0,0,0,0
81,2.750517,-8.0676,3.135672,-5.215023,2.997,2.658582,8.0595,-3.580038,-5.3541,5.3703,-3.538485,-6.8931,5.9454,3.0132,0,0,0,0,0
82,2.784474,-8.1672,3.174384,-5.279406,3.034,2.691404,8.159,-3.624236,-5.4202,5.4366,-3.58217,-6.9782,6.0188,3.0504,0,0,0,0,0
83,2.818431,-8.2668,3.213096,-5.343789,3.071,2.724226,8.2585,-3.668434,-5.4863,5.5029,-3.625855,-7.0633,6.0922,3.0876,0,0,0,0,0
84,2.852388,-8.3664,3.251808,-5.408172,3.108,2.757048,8.358,-3.712632,-5.5524,5.5692,-3.66954,-7.1484,6.1656,3.1248,0,0,0,0,0
85,2.886345,-8.466,3.29052,-5.472555,3.145,2.78987,8.4575,-3.75683,-5.6185,5.6355,-3.713225,-7.2335,6.239,3.162,0,0,0,0,0
86,2.920302,-8.5656,3.329232,-5.536938,3.182,2.822692,8.557,-3.801028,-5.6846,5.7018,-3.75691,-7.3186,6.3124,3.1992,0,0,0,0,0
87,2.954259,-8.6652,3.367944,-5.601321,3.219,2.855514,8.6565,-3.845226,-5.7507,5.7681,-3.800595,-7.4037,6.3858,3.2364,0,0,0,0,0
88,2.988216,-8.7648,3.406656,-5.665704,3.256,2.888336,8.756,-3.889424,-5.8168,5.8344,-3.84428,-7.4888,6.4592,3.2736,0,0,0,0,0
89,3.022173,-8.8644,3.445368,-5.730087,3.293,2.921158,8.8555,-3.933622,-5.8829,5.9007,-3.887965,-7.5739,6.5326,3.3108,0,0,0,0,0
90,3.05613,-8.964,3.48408,-5.79447,3.33,2.95398,8.955,-3.97782,-5.949,5.967,-3.93165,-7.659,6.606,3.348,0,0,0,0,0
91,3.090087,-9.0636,3.522792,-5.858853,3.367,2.986802,9.0545,-4.022018,-6.0151,6.0333,-3.975335,-7.7441,6.6794,3.3852,0,0,0,0,0
92,3.124044,-9.1632,3.561504,-5.923236,3.404,3.019624,9.154,-4.066216,-6.0812,6.0996,-4.01902,-7.8292,6.7528,3.4224,0,0,0,0,0
93,3.158001,-9.2628,3.600216,-5.987619,3.441,3.052446,9.2535,-4.110414,-6.1473,6.1659,-4.062705,-7.9143,6.8262,3.4596,0,0,0,0,0
94,3.191958,-9.3624,3.638928,-6.052002,3.478,3.085268,9.353,-4.154612,-6.2134,6.2322,-4.10639,-7.9994,6.8996,3.4968,0,0,0,0,0
95,3.225915,-9.462,3.67764,-6.116385,3.515,3.11809,9.4525,-4.19881,-6.2795,6.2985,-4.150075,-8.0845,6.973,3.534,0,0,0,0,0
96,3.259872,-9.5616,3.716352,-6.180768,3.552,3.150912,9.552,-4.243008,-6.3456,6.3648,-4.19376,-8.1696,7.0464,3.5712,0,0,0,0,0
97,3.293829,-9.6612,3.755064,-6.245151,3.589,3.183734,9.6515,-4.287206,-6.4117,6.4311,-4.237445,-8.2547,7.1198,3.6084,0,0,0,0,0
98,3.327786,-9.7608,3.793776,-6.309534,3.626,3.216556,9.751,-4.331404,-6.4778,6.4974,-4.28113,-8.3398,7.1932,3.6456,0,0,0,0,0
99,3.361743,-9.8604,3.832488,-6.373917,3.663,3.249378,9.8505,-4.375602,-6.5439,6.5637,-4.324815,-8.4249,7.2666,3.6828,0,0,0,0,0
100,3.3957,-9.96,3.8712,-6.4383,3.7,3.2822,9.95,-4.4198,-6.61,6.63,-4.3685,-8.51,7.34,3.72,0,0,0,0,0